username,login_hour,failed_attempts,ip_change,device_change,label
user1,9,1,0,0,0
user1,9,2,0,0,0
user1,9,1,0,0,0
user1,11,1,0,0,0
user1,10,1,0,0,0
user1,11,2,0,0,0
user1,10,1,0,0,0
user1,10,1,0,0,0
user1,9,2,0,0,0
user1,11,1,0,0,0
user1,10,0,0,0,0
user1,10,2,0,0,0
user1,9,2,0,0,0
user1,9,1,0,0,0
user1,11,1,0,0,0
user1,9,0,0,0,0
user1,9,1,0,0,0
user1,9,2,0,0,0
user1,11,1,0,0,0
user1,10,1,0,0,0
user1,9,0,0,0,0
user1,11,1,0,0,0
user1,10,1,0,0,0
user1,11,2,0,0,0
user1,11,2,0,0,0
user1,9,0,0,0,0
user1,10,2,0,0,0
user1,11,0,0,0,0
user1,9,0,0,0,0
user1,11,1,0,0,0
user1,10,0,0,0,0
user1,9,2,0,0,0
user1,10,0,0,0,0
user1,11,0,0,0,0
user1,9,0,0,0,0
user1,11,2,0,0,0
user1,11,2,0,0,0
user1,10,0,0,0,0
user1,10,2,0,0,0
user1,10,2,0,0,0
user1,9,2,0,0,0
user1,11,0,0,0,0
user1,10,0,0,0,0
user1,10,0,0,0,0
user1,10,1,0,0,0
user1,11,1,0,0,0
user1,10,0,0,0,0
user1,9,2,0,0,0
user1,9,2,0,0,0
user1,9,2,0,0,0
user1,9,1,0,0,0
user1,9,0,0,0,0
user1,9,0,0,0,0
user1,11,0,0,0,0
user1,10,0,0,0,0
user1,11,2,0,0,0
user1,11,0,0,0,0
user1,10,1,0,0,0
user1,10,2,0,0,0
user1,9,1,0,0,0
user1,11,2,0,0,0
user1,9,0,0,0,0
user1,9,1,0,0,0
user1,9,0,0,0,0
user1,9,1,0,0,0
user1,11,0,0,0,0
user1,9,2,0,0,0
user1,10,1,0,0,0
user1,9,1,0,0,0
user1,10,1,0,0,0
user1,11,0,0,0,0
user1,11,0,0,0,0
user1,11,2,0,0,0
user1,11,0,0,0,0
user1,11,2,0,0,0
user1,9,0,0,0,0
user1,9,2,0,0,0
user1,9,0,0,0,0
user1,10,2,0,0,0
user1,10,2,0,0,0
user1,11,2,0,0,0
user1,9,1,0,0,0
user1,10,2,0,0,0
user1,9,0,0,0,0
user1,9,2,0,0,0
user1,11,2,0,0,0
user1,9,1,0,0,0
user1,10,0,0,0,0
user1,11,2,0,0,0
user1,10,1,0,0,0
user1,9,0,0,0,0
user1,10,0,0,0,0
user1,11,0,0,0,0
user1,10,0,0,0,0
user1,9,0,0,0,0
user1,9,0,0,0,0
user1,11,1,0,0,0
user1,9,2,0,0,0
user1,9,0,0,0,0
user1,9,2,0,0,0
user1,11,0,0,0,0
user1,11,1,0,0,0
user1,10,2,0,0,0
user1,10,0,0,0,0
user1,10,1,0,0,0
user1,10,1,0,0,0
user1,9,0,0,0,0
user1,10,2,0,0,0
user1,9,2,0,0,0
user1,10,0,0,0,0
user1,11,1,0,0,0
user1,11,0,0,0,0
user1,11,2,0,0,0
user1,9,1,0,0,0
user1,10,2,0,0,0
user1,11,0,0,0,0
user1,10,1,0,0,0
user1,10,1,0,0,0
user1,9,1,0,0,0
user1,9,2,0,0,0
user1,10,0,0,0,0
user1,11,1,0,0,0
user1,11,0,0,0,0
user1,11,0,0,0,0
user1,10,1,0,0,0
user1,10,0,0,0,0
user1,9,2,0,0,0
user1,9,2,0,0,0
user1,11,1,0,0,0
user1,9,0,0,0,0
user1,11,2,0,0,0
user1,10,2,0,0,0
user1,9,2,0,0,0
user1,11,1,0,0,0
user1,9,2,0,0,0
user1,10,2,0,0,0
user1,10,0,0,0,0
user1,10,2,0,0,0
user1,10,0,0,0,0
user1,10,0,0,0,0
user1,11,1,0,0,0
user1,10,0,0,0,0
user1,11,0,0,0,0
user1,11,0,0,0,0
user1,9,1,0,0,0
user1,9,2,0,0,0
user1,11,1,0,0,0
user1,10,1,0,0,0
user1,10,0,0,0,0
user1,10,2,0,0,0
user1,11,0,0,0,0
user1,10,2,0,0,0
user1,11,0,0,0,0
user1,9,2,0,0,0
user1,10,0,0,0,0
user1,11,2,0,0,0
user1,10,2,0,0,0
user1,10,0,0,0,0
user1,11,2,0,0,0
user1,9,1,0,0,0
user1,10,0,0,0,0
user1,10,1,0,0,0
user1,9,0,0,0,0
user1,11,0,0,0,0
user1,9,1,0,0,0
user1,11,0,0,0,0
user1,11,2,0,0,0
user1,9,2,0,0,0
user1,11,0,0,0,0
user1,9,0,0,0,0
user1,11,0,0,0,0
user1,11,0,0,0,0
user1,10,0,0,0,0
user1,9,2,0,0,0
user1,10,1,0,0,0
user1,10,0,0,0,0
user1,10,2,0,0,0
user1,11,1,0,0,0
user1,11,2,0,0,0
user1,10,2,0,0,0
user1,10,1,0,0,0
user1,11,2,0,0,0
user1,11,0,0,0,0
user1,11,2,0,0,0
user1,11,0,0,0,0
user1,10,0,0,0,0
user1,10,1,0,0,0
user1,9,2,0,0,0
user1,11,0,0,0,0
user1,11,0,0,0,0
user1,11,1,0,0,0
user1,11,0,0,0,0
user1,9,0,0,0,0
user1,9,0,0,0,0
user1,9,0,0,0,0
user1,10,0,0,0,0
user1,11,1,0,0,0
user1,9,0,0,0,0
user1,10,2,0,0,0
user1,10,0,0,0,0
user2,18,1,0,0,0
user2,18,1,0,0,0
user2,18,1,0,0,0
user2,20,0,0,0,0
user2,18,1,0,0,0
user2,20,0,0,0,0
user2,18,2,0,0,0
user2,19,1,0,0,0
user2,18,0,0,0,0
user2,19,0,0,0,0
user2,19,2,0,0,0
user2,20,1,0,0,0
user2,20,2,0,0,0
user2,19,1,0,0,0
user2,19,1,0,0,0
user2,20,0,0,0,0
user2,20,0,0,0,0
user2,18,1,0,0,0
user2,19,0,0,0,0
user2,20,0,0,0,0
user2,19,1,0,0,0
user2,19,2,0,0,0
user2,19,1,0,0,0
user2,19,2,0,0,0
user2,18,1,0,0,0
user2,18,2,0,0,0
user2,18,2,0,0,0
user2,20,0,0,0,0
user2,18,0,0,0,0
user2,19,1,0,0,0
user2,19,1,0,0,0
user2,19,1,0,0,0
user2,18,0,0,0,0
user2,20,0,0,0,0
user2,19,2,0,0,0
user2,19,2,0,0,0
user2,20,0,0,0,0
user2,18,2,0,0,0
user2,18,2,0,0,0
user2,18,2,0,0,0
user2,19,2,0,0,0
user2,20,1,0,0,0
user2,18,1,0,0,0
user2,18,2,0,0,0
user2,19,0,0,0,0
user2,18,2,0,0,0
user2,19,0,0,0,0
user2,18,0,0,0,0
user2,19,2,0,0,0
user2,20,0,0,0,0
user2,18,0,0,0,0
user2,20,2,0,0,0
user2,19,2,0,0,0
user2,20,1,0,0,0
user2,18,1,0,0,0
user2,19,0,0,0,0
user2,18,2,0,0,0
user2,20,2,0,0,0
user2,19,1,0,0,0
user2,18,1,0,0,0
user2,19,1,0,0,0
user2,19,2,0,0,0
user2,20,0,0,0,0
user2,18,0,0,0,0
user2,18,1,0,0,0
user2,20,2,0,0,0
user2,19,0,0,0,0
user2,20,2,0,0,0
user2,20,1,0,0,0
user2,18,0,0,0,0
user2,19,0,0,0,0
user2,19,0,0,0,0
user2,20,0,0,0,0
user2,20,1,0,0,0
user2,18,1,0,0,0
user2,19,1,0,0,0
user2,18,1,0,0,0
user2,19,2,0,0,0
user2,20,1,0,0,0
user2,20,0,0,0,0
user2,19,1,0,0,0
user2,19,0,0,0,0
user2,19,0,0,0,0
user2,20,0,0,0,0
user2,18,2,0,0,0
user2,18,1,0,0,0
user2,19,0,0,0,0
user2,19,2,0,0,0
user2,19,0,0,0,0
user2,19,2,0,0,0
user2,18,0,0,0,0
user2,19,2,0,0,0
user2,20,0,0,0,0
user2,19,2,0,0,0
user2,19,2,0,0,0
user2,19,1,0,0,0
user2,20,0,0,0,0
user2,19,2,0,0,0
user2,19,1,0,0,0
user2,19,0,0,0,0
user2,19,2,0,0,0
user2,18,0,0,0,0
user2,20,2,0,0,0
user2,18,0,0,0,0
user2,20,2,0,0,0
user2,19,2,0,0,0
user2,20,1,0,0,0
user2,20,0,0,0,0
user2,18,1,0,0,0
user2,18,0,0,0,0
user2,18,2,0,0,0
user2,18,1,0,0,0
user2,20,1,0,0,0
user2,18,1,0,0,0
user2,18,0,0,0,0
user2,18,1,0,0,0
user2,20,0,0,0,0
